title,author,likes
1 Second,sini / kwang woon,1M
Madame Outlaw,Perciren / WmW,1.4M
Oh! Holy,Ahyun,8.8M
Suhee0,bdmood,"708,895"
The Producer's Second Life,Wangsibri / Yeoloun,"670,661"
Secret Playlist,2F,4.8M
30 Minutes With You,ondo,"730,208"
Let Me Stay Over Tonight!,Yunana / Heabun,1.9M
A Whirlwind Campus Affair,Uiyoung,2.1M
Spirit Fingers,Han Kyoung Chal,5.7M
No Outtakes,Go Sun Young,"915,260"
Pyramid Game,Dalgonyak,2.6M
My Boo,Jeongseo,3.2M
On-Air,Shim bokil,"196,147"
Days of Hana,Seokwoo,7.7M
Dear X,VANZIUN,"939,935"
Tales of Greed,Juin Kim / PTJ COMICS,"848,463"
After School Recipe,HYE RU,"240,303"
Savior,Junqi / Jo9,"517,377"
Muse on Fame,SOOJIN,4.5M
Taste of Illness,Ilkwon Ha,"602,717"
Mythical Errand,GGOLI,"602,582"
The Snake and the Flower,Na-eum So,1.1M
To Make You Happy,Redgru,"186,030"
There's Love Hidden in Lies,Kawai Aporo,1.5M
Her Bucket List,Yellow sheep / So-p,1.2M
Lone,Mel0h,2.8M
If AI Ruled the World,POGO / HOOPA,"685,596"
Scorching Romance,Hongchi,5.5M
Lost in Translation,Jjolee,8.7M
LUFF,Arechan,9.3M
Pie Game (The 8 Show),BAE jin soo,"96,640"
Heavenly Roommates,MARO / kang jaegeon,"936,968"
Garden Club Detective Squad,52chu,1.1M
The Legendary Fossil,Studio wooridle / CHUNG JONG,"439,267"
Flower Pot Crew,Cute Prawn Studios,"60,130"
Dark Mortal,Jeonyeok Lee,1.2M
Double-Binded By Love,Fortune King / Esam,"229,742"
Whale Star: The Gyeongseong Mermaid,Na Yoonhee,1.6M
Just One Bite!,Han sol LEE,"376,700"
Vigilante,kim kyusam / CRG,"98,231"
See No Evil,Gwangtanto / Maduru,"505,395"
This Life to the Next,jojoohee / YUNO,"382,120"
The QUEENS,Chungmin / Lee Soo hyon,"89,641"
Publishing Love,Rosa / Song Yi,"319,043"
Dr. Frost,JongBeom Lee,3.6M
Before We Knew It,Nakano Mayaka,4.7M
Blue,kennsaty,"313,929"
The Sound of Magic: Annarasumanara,Ilkwon Ha,1M
Time Roulette,SN / Bae302,"246,082"
Coffin Jackson,CTK,"140,451"
Loser Coin,Lee Je Hwan / Beomsik,"231,059"
No Longer A Heroine!,Maenggi Ki,4M
Guaba,Puik,"179,631"
Moonlight Beauty Parlor,Nawa.,"736,143"
My Lovely Bodyguard,Daisy / Nata,"150,855"
Behind the Curtain,dagwa,"221,621"
Bloodhounds,Jeong Chan,"186,044"
Archie Comics: Big Ethel Energy,Keryl Brown Ahmed / Siobhan,3M
Privacy Check,liggy / wachi,"183,037"
Time and Reason,Colabear,"451,356"
Who's Mr. President?,S.M.S / KING Productions,"811,813"
Our Time,seaweed candy / Leewol,"512,295"
Winter Woods,COSMOS / VAN.J,3.9M
She Bites!,MandaRat / NoChanJoo,"263,907"
Unraveling Rumors,T.Green / bbchu,"207,452"
